idx,http_code,solve_id,status,wall_ms,objective,feasible,kkt_primal,energy_j,audit_hash,client_rtt_ms
1,200,d8c6acb8b7e19d8d,optimal,65.008,0.0015497702,True,0.0,8.445901,49d31c3d0654e20d598a95ff09da6fb8,2181.132599944249
2,200,b38e3ae48cad7a57,optimal,62.038,0.002250568,True,0.0,7.959039,bf7f4a33f8a1945aff310ed0e13ccd79,2136.012999981176
3,200,fdee4204af8ae8a6,optimal,66.169,0.0020127256,True,0.0,7.727912,aa1fbaf9d2db4ecbd2178e4c45cf5b0c,2112.7954000257887
4,200,83d8aaf7224f5983,optimal,70.458,0.0023563895,True,0.0,8.120141,57551e5c317b57f82a0b2aeb92a049c9,2126.5297000063583
5,200,3e2745b9f7f59130,optimal,66.569,0.002013208,True,0.0,7.665782,50f3ca5ecb994de86b97312c5c424f40,2129.0947000379674
6,200,374a019aecb62f83,optimal,72.992,0.0027825911,True,0.0,9.013965,a974996786abf9d10fd1951f3c9df259,2135.719300014898
7,200,2582cee8a18caebb,optimal,66.647,0.0023327982,True,0.0,7.869216,ca0de75f4bb1077ee5559a27f71c7b98,2150.831400009338
8,200,0a50a155738fe767,optimal,63.234,0.0013931014,True,0.0,7.271887,edbda1d87e7854a5ce1818bd18b8e375,2115.1465000002645
9,200,691414cc0692dc91,optimal,124.073,0.0022295761,True,0.0,15.95811,e88918318d4c4e913df685292468a020,2176.442500029225
10,200,f70ca32c6feb3eab,optimal,65.842,0.0016005182,True,0.0,7.146656,bfcd931e87d010da01d04171c25f72af,2125.1935999607667
11,200,5e626ce1ddac29db,optimal,64.757,0.0021076608,True,0.0,7.554214,135945743d213dbcce157c05fc0cbb91,2122.2836999804713
12,200,46b3bdbe8a68a152,optimal,75.139,0.0014682095,True,0.0,9.249217,469b6276e48d5ee0a666ac67d0637fd5,2139.5694999955595
13,200,44ba91852e644637,optimal,65.561,0.0020897532,True,0.0,7.92404,503dea2bdd0e8ad4acf82d145b1ea7f5,2128.115300030913
14,200,87a2f64a0c589b69,optimal,66.382,0.0022182027,True,0.0,8.461247,42f56bff58384f359265b1f5d2ef6c18,2123.4872000059113
15,200,d179bea57ec04967,optimal,65.987,0.0016581403,True,0.0,7.637439,a8e2d27cb4908bc5ad5d649d0b7277f8,2127.8497999883257
16,200,9ff2b1d68433e7f0,optimal,69.995,0.0018973784,True,0.0,9.019646,daf2a7fe611ac4c4b261b8bf6d6c9a13,2131.8760000285693
17,200,22cd1aaaf2f12985,optimal,58.638,0.0020284754,True,0.0,7.766043,4cf4688884db04f8e31536fd9fb8821b,2118.65099996794
18,200,edf3953c0a041c09,optimal,56.389,0.0017020203,True,0.0,8.045539,c4f7c5a5811542c69ba588711061db51,2109.4997999607585
19,200,804e5f94f83d5899,optimal,56.23,0.0019954504,True,0.0,7.53819,907cf6ceb957d4c485803191acfb8642,2118.8908999902196
20,200,a9b068f45d697c83,optimal,57.577,0.0016218277,True,0.0,7.62357,f253ad1d6ad02963ec116f04a2385517,2125.1473000156693
21,200,25dd64054feda773,optimal,53.889,0.002809224,True,0.0,7.692241,035328f977229e43125e2bce571b238a,2128.294599999208
22,200,e00aaa317426f045,optimal,54.767,0.0020944289,True,0.0,7.519711,c88b090b3e23f2ff4460c19f63784484,2114.4636999815702
23,200,bd9826319f6e5466,optimal,92.707,0.0022610378,True,0.0,9.171827,ec6200a625c08c4362ac414c333815a6,2157.4534999672323
24,200,104e8cab6fc84982,optimal,59.61,0.0021673612,True,0.0,8.721174,3c5b9c2d7b7aa5682d154b0b12136ee0,2118.988400034141
25,200,0e3d0d2eafb920c0,optimal,56.986,0.001662512,True,0.0,7.833937,7d7b4401d1714a386268f13afd5155be,2117.9852000204846
26,200,feb2e90fc27b1a7e,optimal,113.354,0.0014683114,True,0.0,7.556616,df3e7c8cf26d781cab7fc9e3ec0a839f,2161.0852999729104
27,200,1a276cd0b79e3b30,optimal,63.51,0.0024819171,True,0.0,9.489617,02488279fe959fb3ca3a00c669d3f2c7,2148.1142999837175
28,200,9b310f15359cd3ef,optimal,67.897,0.0023831904,True,0.0,9.417669,52349edb02ce90ce6fda910730b88476,2121.715300017968
29,200,bd62126460deec26,optimal,61.464,0.0016216129,True,0.0,8.312885,ff9b344ea514332631c10ef879b51962,2116.010900004767
30,200,dc3feceeea02a2e8,optimal,53.451,0.0016028393,True,0.0,7.61196,c1d4877ccf18f545c8e561ed38d7ce14,2116.5940999635495
31,200,a065cc52598ab78a,optimal,55.728,0.00153552,True,0.0,7.611074,1ef48aac435967d826fd323ee3c0d905,2110.0916000432335
32,200,131e5c64ec5b0954,optimal,70.063,0.0021362119,True,0.0,8.746738,be74111a887075cfd94f4edc9e6ed967,2117.091400024947
33,200,bba6d2eca75bd3d5,optimal,61.074,0.002452988,True,0.0,8.130937,9fb5db7024c9c715b8acf7faceebf1a0,2113.3627999806777
34,200,a66606c0d1398fe6,optimal,59.149,0.0021794224,True,0.0,7.838317,f870921d02d0c84ddd5aeef9448d95f4,2119.5010999799706
35,200,87e2ce8ccde20a1a,optimal,61.481,0.0025242229,True,0.0,8.356919,ed906fb54a296c23979bccc12d0f3ffd,2123.297999962233
36,200,394eb85b8c78b267,optimal,56.221,0.0020968953,True,0.0,7.795803,3d14fada57b419a97df568aed6fdd68b,2106.2220000312664
37,200,8537fd77ce2547d8,optimal,321.326,0.0018987965,True,0.0,18.622897,ff312631a80dc9c78e71459ed604dad0,2377.471300016623
38,200,18a3bc50455c63a9,optimal,53.294,0.0022096291,True,0.0,7.279695,414c1be6d895d7929f270ffd77ac3d01,2109.539400029462
39,200,452852c187182aa1,optimal,119.881,0.0018301203,True,0.0,16.178322,4113b1a26a0f2e376173efd2755388e1,2166.730800003279
40,200,d17c317d90e036ea,optimal,160.213,0.0018272246,True,0.0,12.247883,d9bec8fe54fd8b086dcd6a35829ec283,2215.0740000070073
