symbol,obs_count,first_date,last_date,last_close,in_alpaca_active_tradable,in_sp1500_lists
A,251,2025-02-14,2026-02-13,125.80999755859375,True,True
AA,251,2025-02-14,2026-02-13,59.95000076293945,True,True
AAA,251,2025-02-14,2026-02-13,24.979999542236328,True,False
AAAU,251,2025-02-14,2026-02-13,49.650001525878906,True,False
AACBU,251,2025-02-14,2026-02-13,10.600000381469727,True,False
AACG,251,2025-02-14,2026-02-13,0.8899999856948853,True,False
AADR,251,2025-02-14,2026-02-13,94.73999786376953,True,False
AAGIY,251,2025-02-14,2026-02-13,40.97999954223633,True,False
AAL,251,2025-02-14,2026-02-13,13.880000114440918,True,True
AAME,251,2025-02-14,2026-02-13,2.559999942779541,True,False
AAMI,251,2025-02-14,2026-02-13,51.849998474121094,True,True
AAOI,251,2025-02-14,2026-02-13,44.459999084472656,True,False
AAON,251,2025-02-14,2026-02-13,101.04000091552734,True,True
AAP,251,2025-02-14,2026-02-13,58.849998474121094,True,True
AAPB,251,2025-02-14,2026-02-13,27.899999618530273,True,False
AAPD,251,2025-02-14,2026-02-13,13.90999984741211,True,False
AAPG,251,2025-02-14,2026-02-13,23.81999969482422,True,False
AAPL,251,2025-02-14,2026-02-13,255.77999877929688,True,True
AAPR,251,2025-02-14,2026-02-13,28.559999465942383,True,False
AAPU,251,2025-02-14,2026-02-13,29.170000076293945,True,False
AAPX,251,2025-02-14,2026-02-13,26.399999618530273,True,False
AAPY,251,2025-02-14,2026-02-13,22.71500015258789,True,False
AARD,251,2025-02-14,2026-02-13,12.100000381469727,True,False
AAT,251,2025-02-14,2026-02-13,18.559999465942383,True,True
AAUC,251,2025-02-14,2026-02-13,31.469999313354492,True,False
AAVM,251,2025-02-14,2026-02-13,33.23699951171875,True,False
AAXJ,251,2025-02-14,2026-02-13,103.6500015258789,True,False
AB,251,2025-02-14,2026-02-13,40.84000015258789,True,False
ABAT,251,2025-02-14,2026-02-13,3.799999952316284,True,False
ABBV,251,2025-02-14,2026-02-13,231.5,True,True
