symbol,obs_count,first_date,last_date,last_close,in_alpaca_active_tradable,in_sp1500_lists
AACB,216,2025-04-07,2026-02-13,10.359999656677246,True,False
AFMC,251,2025-02-14,2026-02-13,37.367000579833984,True,False
AG,251,2025-02-14,2026-02-13,22.959999084472656,True,False
AWX,251,2025-02-14,2026-02-13,2.630000114440918,True,False
BBAI,251,2025-02-14,2026-02-13,4.079999923706055,True,False
BHYB,251,2025-02-14,2026-02-13,54.680999755859375,True,False
CBON,251,2025-02-14,2026-02-13,23.19499969482422,True,False
DALI,251,2025-02-14,2026-02-13,29.656999588012695,True,False
DAWN,251,2025-02-14,2026-02-13,11.350000381469727,True,False
DESK,251,2025-02-14,2026-02-13,35.584999084472656,True,False
DLNG,251,2025-02-14,2026-02-13,3.880000114440918,True,False
DURA,251,2025-02-14,2026-02-13,38.150001525878906,True,False
EGGS,251,2025-02-14,2026-02-13,36.685001373291016,True,False
ELF,251,2025-02-14,2026-02-13,81.5,True,True
FNGU,248,2025-02-20,2026-02-13,17.600000381469727,True,False
FPE,251,2025-02-14,2026-02-13,18.3799991607666,True,False
GERN,251,2025-02-14,2026-02-13,1.649999976158142,True,False
GLW,251,2025-02-14,2026-02-13,133.4600067138672,True,True
GNMA,251,2025-02-14,2026-02-13,45.0099983215332,True,False
GT,251,2025-02-14,2026-02-13,9.4399995803833,True,True
IVOO,251,2025-02-14,2026-02-13,120.62000274658203,True,False
KNGZ,251,2025-02-14,2026-02-13,38.58000183105469,True,False
LGCY,251,2025-02-14,2026-02-13,11.550000190734863,True,False
NCV,251,2025-02-14,2026-02-13,16.530000686645508,True,False
NDAQ,251,2025-02-14,2026-02-13,79.47000122070312,True,True
NE,251,2025-02-14,2026-02-13,45.81999969482422,True,True
NOTE,251,2025-02-14,2026-02-13,0.9179999828338623,True,False
NVDG,251,2025-02-14,2026-02-13,15.670000076293945,True,False
PETS,251,2025-02-14,2026-02-13,3.180000066757202,True,False
PLAG,251,2025-02-14,2026-02-13,2.8399999141693115,True,False
RND,251,2025-02-14,2026-02-13,28.643999099731445,True,False
ROM,251,2025-02-14,2026-02-13,87.55999755859375,True,False
SCC,251,2025-02-14,2026-02-13,15.239999771118164,True,False
SCJ,251,2025-02-14,2026-02-13,105.73999786376953,True,False
SCNI,251,2025-02-14,2026-02-13,0.7440000176429749,True,False
SIF,251,2025-02-14,2026-02-13,11.0,True,False
SLSN,251,2025-02-14,2026-02-13,1.3300000429153442,True,False
SOCL,251,2025-02-14,2026-02-13,49.5,True,False
SPOK,251,2025-02-14,2026-02-13,13.720000267028809,True,False
SW,251,2025-02-14,2026-02-13,51.560001373291016,True,True
TAYD,251,2025-02-14,2026-02-13,78.3499984741211,True,False
TBBB,251,2025-02-14,2026-02-13,37.650001525878906,True,False
THTA,251,2025-02-14,2026-02-13,15.210000038146973,True,False
TMUS,251,2025-02-14,2026-02-13,219.5,True,True
TRPA,251,2025-02-14,2026-02-13,38.98500061035156,True,False
UBND,251,2025-02-14,2026-02-13,22.170000076293945,True,False
UOVEY,251,2025-02-14,2026-02-13,61.04999923706055,True,False
VBNK,251,2025-02-14,2026-02-13,16.15999984741211,True,False
XHYI,251,2025-02-14,2026-02-13,38.29499816894531,True,False
XRT,251,2025-02-14,2026-02-13,87.83999633789062,True,False
