symbol,exchange,quote_type,is_primary,universe_sha256
A,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AA,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AACB,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AACG,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAL,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAME,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAMI,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAOI,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAON,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAP,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAPG,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAPL,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AARD,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAT,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AAUC,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AB,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABAT,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABBV,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABCB,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABCL,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABEO,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABEV,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABG,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABLV,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABM,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABNB,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABOS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABP,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABR,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABSI,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABT,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABTC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABTS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABUS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABVC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABVE,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABVX,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ABX,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACA,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACAD,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACB,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACCL,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACCO,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACDC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACEL,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACET,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACFN,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACGL,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACH,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACHC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACHR,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ACHV,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
