symbol,exchange,quoteType,is_primary,is_etf,is_adr,is_otc,security_type
A,NYSE,EQUITY,1,0,0,0,Common Stock
AA,NYSE,EQUITY,1,0,0,0,Common Stock
AACB,NASDAQ,EQUITY,1,0,0,0,Common Stock
AACG,NASDAQ,EQUITY,1,0,0,0,Common Stock
AAL,NASDAQ,EQUITY,1,0,0,0,Common Stock
AAME,NASDAQ,EQUITY,1,0,0,0,Common Stock
AAMI,NYSE,EQUITY,1,0,0,0,Common Stock
AAOI,NASDAQ,EQUITY,1,0,0,0,Common Stock
AAON,NASDAQ,EQUITY,1,0,0,0,Common Stock
AAP,NYSE,EQUITY,1,0,0,0,Common Stock
AAPG,NASDAQ,EQUITY,1,0,0,0,Common Stock
AAPL,NASDAQ,EQUITY,1,0,0,0,Common Stock
AARD,NASDAQ,EQUITY,1,0,0,0,Common Stock
AAT,NYSE,EQUITY,1,0,0,0,Common Stock
AAUC,NYSE,EQUITY,1,0,0,0,Common Stock
AB,NYSE,EQUITY,1,0,0,0,Common Stock
ABAT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABBV,NYSE,EQUITY,1,0,0,0,Common Stock
ABCB,NYSE,EQUITY,1,0,0,0,Common Stock
ABCL,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABEO,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABEV,NYSE,EQUITY,1,0,0,0,Common Stock
ABG,NYSE,EQUITY,1,0,0,0,Common Stock
ABLV,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABM,NYSE,EQUITY,1,0,0,0,Common Stock
ABNB,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABOS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABP,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABR,NYSE,EQUITY,1,0,0,0,Common Stock
ABSI,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABT,NYSE,EQUITY,1,0,0,0,Common Stock
ABTC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABTS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABUS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABVC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABVE,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABVX,NASDAQ,EQUITY,1,0,0,0,Common Stock
ABX,NYSE,EQUITY,1,0,0,0,Common Stock
ACA,NYSE,EQUITY,1,0,0,0,Common Stock
ACAD,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACB,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACCL,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACCO,NYSE,EQUITY,1,0,0,0,Common Stock
ACDC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACEL,NYSE,EQUITY,1,0,0,0,Common Stock
ACET,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACFN,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACGL,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACH,NYSE,EQUITY,1,0,0,0,Common Stock
ACHC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACHR,NYSE,EQUITY,1,0,0,0,Common Stock
ACHV,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACI,NYSE,EQUITY,1,0,0,0,Common Stock
ACIC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACIU,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACIW,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACLS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACLX,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACM,NYSE,EQUITY,1,0,0,0,Common Stock
ACMR,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACN,NYSE,EQUITY,1,0,0,0,Common Stock
ACNB,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACNT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACOG,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACON,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACR,NYSE,EQUITY,1,0,0,0,Common Stock
ACRE,NYSE,EQUITY,1,0,0,0,Common Stock
ACRS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACRV,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACTG,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACTU,NASDAQ,EQUITY,1,0,0,0,Common Stock
ACVA,NYSE,EQUITY,1,0,0,0,Common Stock
ACXP,NASDAQ,EQUITY,1,0,0,0,Common Stock
AD,NYSE,EQUITY,1,0,0,0,Common Stock
ADAG,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADAM,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADBE,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADC,NYSE,EQUITY,1,0,0,0,Common Stock
ADCT,NYSE,EQUITY,1,0,0,0,Common Stock
ADEA,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADGM,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADI,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADIL,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADM,NYSE,EQUITY,1,0,0,0,Common Stock
ADMA,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADNT,NYSE,EQUITY,1,0,0,0,Common Stock
ADP,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADPT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADSE,NASDAQ,EQUITY,1,0,0,0,Common Stock
ADSK,NASDAQ,EQUITY,1,0,0,0,Common Stock
